feature,family,cluster,target,horizon,n,base_rate,auc,auc_oriented,pr_auc,pearson,spearman,top_bottom_spread,top_lift,bottom_lift,monotonic_steps,temporal_stable,temporal_min_abs_auc_edge,regime_support_count,direction,incremental_brier_improvement,cluster_rank,research_score
ema_dist_6b,Trend,trend,range_breached,8H,4181,0.9471418320975843,0.4699552081905023,0.5300447918094977,0.9318184483278387,-0.03244154644881956,-0.023287528354135556,-0.016825013004979072,-0.02967771726504842,-0.012852704260069348,0,True,0.022714197438793104,3,lower_increases_target,0.0005481970760904675,41.0,55.173
ema_slope_6b,Trend,trend,range_held,8H,4181,0.05285816790241569,0.5300447918094977,0.5300447918094977,0.0813148319036594,0.032857730200440007,0.023287528354135556,0.016825013004979045,0.029677717265048427,0.012852704260069382,0,True,0.022714197438793104,3,higher_increases_target,0.0005481970760904675,42.0,55.173
ema_slope_6b,Trend,trend,range_breached,8H,4181,0.9471418320975843,0.4699552081905023,0.5300447918094977,0.9318184483278387,-0.03285773020043999,-0.023287528354135556,-0.016825013004979072,-0.02967771726504842,-0.012852704260069348,0,True,0.022714197438793104,3,lower_increases_target,0.0005481970760904675,42.0,55.173
ema_dist_6b,Trend,trend,path_inside_70,8H,4181,0.05285816790241569,0.5300447918094977,0.5300447918094977,0.0813148319036594,0.03244154644881956,0.023287528354135556,0.016825013004979045,0.029677717265048427,0.012852704260069382,0,True,0.022714197438793104,3,higher_increases_target,0.0005481970760904675,41.0,55.173
ema_slope_6b,Trend,trend,path_inside_70,8H,4181,0.05285816790241569,0.5300447918094977,0.5300447918094977,0.0813148319036594,0.032857730200440007,0.023287528354135556,0.016825013004979045,0.029677717265048427,0.012852704260069382,0,True,0.022714197438793104,3,higher_increases_target,0.0005481970760904675,42.0,55.173
ema_dist_6b,Trend,trend,range_held,8H,4181,0.05285816790241569,0.5300447918094977,0.5300447918094977,0.0813148319036594,0.03244154644881956,0.023287528354135556,0.016825013004979045,0.029677717265048427,0.012852704260069382,0,True,0.022714197438793104,3,higher_increases_target,0.0005481970760904675,41.0,55.173
upper_wick_ratio,Price Structure,price_structure,max_abs_excursion_ge_1_5_atr,4H,4180,0.9944976076555024,0.3569725240819571,0.6430274759180429,0.9917154827290263,-0.04108154590985139,-0.03667982596376429,-0.0035885167464115852,-0.004066985645933108,-0.0004784688995215225,-2,False,0.021598272138228958,5,lower_increases_target,2.0661157024792418e-05,19.0,55.171
bollinger_squeeze_pctile_20b,Volatility,volatility,up_excursion_ge_1_0_atr,8H,4181,0.8839990432910787,0.46692523541750347,0.5330747645824965,0.8749197389959161,-0.03643468142436075,-0.03669599159632016,-0.03122052442935297,-0.015577990659499719,0.01564253376985325,-4,True,0.022515336884107673,3,lower_increases_target,0.000342348119968916,39.0,55.16
donchian_pos_288b,Price Structure,price_structure,path_inside_70,1H,4206,0.04303376129339039,0.5339652036649394,0.5339652036649394,0.05086392782109151,0.022487991654186038,0.02387689345187737,0.01431815421636385,0.012852088884968707,-0.001466065331395143,0,True,0.00603387982028758,4,higher_increases_target,9.338169954099113e-05,21.0,55.159
donchian_pos_288b,Price Structure,price_structure,range_breached,1H,4206,0.9569662387066096,0.46603479633506056,0.5339652036649394,0.9512246862706739,-0.02248799165418603,-0.02387689345187737,-0.014318154216363843,-0.012852088884968693,0.00146606533139515,0,True,0.00603387982028758,4,lower_increases_target,9.338169954099806e-05,21.0,55.159
donchian_pos_288b,Price Structure,price_structure,range_held,1H,4206,0.04303376129339039,0.5339652036649394,0.5339652036649394,0.05086392782109151,0.022487991654186038,0.02387689345187737,0.01431815421636385,0.012852088884968707,-0.001466065331395143,0,True,0.00603387982028758,4,higher_increases_target,9.338169954099113e-05,21.0,55.159
aroon_osc_48b,Trend,trend,realized_over_range_width_ge_1,1H,4206,0.8699476937708036,0.47351125895777757,0.5264887410422224,0.8567442171347012,-0.02972925669250962,-0.0308653596071406,-0.04177669949528473,-0.04592866880053015,-0.004151969305245418,0,True,0.0089107110383706,2,lower_increases_target,0.0007680676810189052,38.0,55.156
minus_di_24b,Trend,trend,downside_breakdown_occurred,24H,4206,0.6524013314312886,0.4884825192535486,0.5115174807464514,0.6335201454713727,-0.02458862243108007,-0.018999606294729864,-0.025388280550526665,-0.02933355497468937,-0.003945274424162704,0,True,0.0013811128919042348,3,lower_increases_target,0.0008307114674201421,51.0,55.149
atr_slope_288b,Volatility,volatility,mean_reversion_occurred,12H,4206,0.6633380884450785,0.4590398011461434,0.5409601988538566,0.637915050519994,-0.06894795355664513,-0.06705283609072674,-0.0895283581077837,-0.046215615198942905,0.043312742908840796,-4,False,0.045590840080971695,4,lower_increases_target,0.0013416022193103727,26.0,55.145
