feature,target,horizon,blocks,stable_sign,min_abs_auc_edge,edges
roc_48b,fast_1atr_touch,4H,1,True,0.48814655172413796,[-0.48814655172413796]
bollinger_bandwidth_20b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48857958600999285,[-0.48857958600999285]
sma_dist_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49143468950749464,[-0.49143468950749464]
choppiness_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49286224125624556,[0.49286224125624556]
macd_hist_slope_48_288b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48857958600999285,[-0.48857958600999285]
di_spread_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4066762383345298,"[-0.4949712643678161, -0.4440057430007179, -0.4066762383345298]"
ema_dist_6b,down_excursion_ge_1_0_atr,2H,3,True,0.17734207374060473,"[-0.18817688874674732, -0.17734207374060473, -0.18789084400741796]"
atr_slope_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49500356887937186,[-0.49500356887937186]
ema_dist_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4907209136331192,[-0.4907209136331192]
macd_hist_slope_12_48b,fast_1atr_touch,4H,1,True,0.4885057471264368,[0.4885057471264368]
sma_slope_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.487152034261242,[-0.487152034261242]
keltner_width_20b,realized_over_range_width_ge_1,8H,3,True,0.2534496269292358,"[-0.2820821195356834, -0.2534496269292358, -0.2620637759302731]"
atr_pct_6b,realized_over_range_width_ge_1,12H,3,True,0.25534543797539344,"[-0.28278335062838694, -0.25534543797539344, -0.25847839364788516]"
plus_di_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49571734475374735,[-0.49571734475374735]
macd_hist_slope_48_288b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4117013639626705,"[-0.4885057471264368, -0.4849246231155779, -0.4117013639626705]"
rv_24b,realized_over_range_width_ge_1,12H,3,True,0.25729500687127804,"[-0.29639340481955495, -0.2745846331802727, -0.25729500687127804]"
return_96b,fast_1atr_touch,4H,1,True,0.48778735632183906,[-0.48778735632183906]
roc_96b,fast_1atr_touch,4H,1,True,0.48778735632183906,[-0.48778735632183906]
di_spread_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49500356887937186,[-0.49500356887937186]
rv_slope_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49286224125624556,[-0.49286224125624556]
