target,horizon,regime,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
upper_breach_only,8H,NORMAL_RANGE,176,52,0.29545454545454547,0.20876198480442668,-0.0027569309476718207,0.6083640620102119,0.540787841191067,0.32617650927809005,0.02505586928361747,-0.07367613504296558,1.0561320613415348
upper_breach_only,12H,LOW_VOL_RANGE,579,184,0.3177892918825561,0.2174197814528572,0.0008001721376568183,0.6266663499148188,0.5248073747936158,0.29929036271062426,0.024699344132080803,0.06496704375631633,0.942482516709011
upper_breach_only,12H,NORMAL_RANGE,176,50,0.2840909090909091,0.20341747481568306,-1.8977442769463337e-05,0.596859611661171,0.5825396825396826,0.2988129410214423,0.00910611756872265,-0.024172604315845492,1.0227260689370221
upper_breach_only,24H,LOW_VOL_RANGE,579,159,0.27461139896373055,0.20108115059456555,-0.007983321897494067,0.5922417983749155,0.5417340521114106,0.29748683830746864,0.043488544867150036,-0.12980097034204566,1.0986572322736714
upper_breach_only,24H,NORMAL_RANGE,176,50,0.2840909090909091,0.20375512336804197,-0.0015507408559498614,0.5977200121745797,0.6057142857142858,0.28109080288798116,0.03537281167703388,-0.09664079606296022,1.0963456424698972
lower_breach_only,1H,LOW_VOL_RANGE,579,175,0.3022452504317789,0.21027759651833158,0.004680890931601067,0.6108010269011831,0.5420933521923621,0.3300190264004464,0.024764821990902547,-0.08047262194300212,1.043004027231084
lower_breach_only,1H,NORMAL_RANGE,176,51,0.2897727272727273,0.20966431224715773,-0.013774302710105601,0.6098953687537557,0.5215686274509804,0.2927915931654184,0.05087144665217383,-0.19470489453235534,1.0337970636632208
lower_breach_only,2H,LOW_VOL_RANGE,579,171,0.29533678756476683,0.21039053509886946,-0.0013119841709561264,0.6126096188112754,0.509302258915262,0.33453789122953936,0.02987405473015863,-0.10075162411459991,0.9397408474930957
lower_breach_only,2H,NORMAL_RANGE,176,54,0.3068181818181818,0.21495923800371736,-0.0054827752225061754,0.6210994308068372,0.5258044930176078,0.3287159616575791,0.027350322473471435,-0.13744272623776158,0.9453000069001838
lower_breach_only,4H,LOW_VOL_RANGE,579,167,0.28842832469775476,0.2091318325944384,-0.0010987047100756708,0.609417934987354,0.4760333701528981,0.31196498527499805,0.029395097002300852,-0.13905360458027993,0.9650249046878254
