event,horizon,feature,n,true_mean,false_mean,point_biserial,spearman,univariate_auc_positive_orientation,orientation,classification
upside_breakout,4H,vwap_zscore,4206,0.32119621267250636,0.5425011380541116,-0.017403134189993542,-0.021166188455645562,0.4873927880403916,weak_flat,WEAK
upside_breakout,4H,atr,4206,3.2707020174482015,4.049261394343363,-0.17785064921461372,-0.1863175789731971,0.3890237093653437,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,4H,atr_pct,4206,0.0018367718147573864,0.0022533079178245303,-0.1616628765974595,-0.17586881625521322,0.39524729744038967,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,4H,realized_volatility,4206,46.35582094766564,50.214685137460904,-0.0893851664341632,-0.09122628436488632,0.4456629092344272,higher_feature_lower_event,CONDITIONAL
upside_breakout,4H,volume,4206,103843.56412213741,112226.81715006306,-0.032892023809659825,-0.0753885114021975,0.4550963584032036,weak_flat,CONDITIONAL
upside_breakout,4H,volume_zscore,4206,0.31796849155354123,0.21670907957537938,0.03889915649423022,0.014579607735162732,0.5086840484006045,weak_flat,WEAK
upside_breakout,8H,return_5m,4206,-9.06186772949929e-05,0.00011678361345888267,-0.05649173179774152,-0.050243768985614265,0.4698720848978716,weak_flat,WEAK
upside_breakout,8H,return_15m,4206,-9.761331978437487e-05,0.00011776570870396347,-0.037998578840374185,-0.029600200226679804,0.4822506667707321,weak_flat,WEAK
upside_breakout,8H,return_1h,4206,-0.0003000594772427066,0.0005398725246891019,-0.07159456102612717,-0.07657970143699609,0.4540800759027167,weak_flat,CONDITIONAL
upside_breakout,8H,return_4h,4206,-0.00036094189659958514,0.0005753390585992682,-0.04185147591441882,-0.043803583793430786,0.47373380634319395,weak_flat,WEAK
upside_breakout,8H,vwap,4206,1811.5202121268221,1826.3226382011826,-0.05283069309663576,-0.05974929865237233,0.4641721859958024,weak_flat,WEAK
upside_breakout,8H,vwap_deviation_pct,4206,-0.00011086063897952246,-0.00014052384582978247,0.0011264969771672283,0.006068950706074274,0.5036391596554621,weak_flat,WEAK
upside_breakout,8H,vwap_zscore,4206,0.40086120345141885,0.411231666278207,-0.0008100716342553063,0.008492788865485594,0.5050925796069986,weak_flat,WEAK
upside_breakout,8H,atr,4206,3.166696528854897,4.256105165193115,-0.24719713089164747,-0.2518784499696887,0.3489646913342366,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,8H,atr_pct,4206,0.0017780491098593693,0.002369328560195232,-0.22794986269969328,-0.23350420544624545,0.3599825365214751,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,8H,realized_volatility,4206,46.04217879262881,50.88865273992536,-0.11151177742872816,-0.09710910920846737,0.4417699089143009,higher_feature_lower_event,CONDITIONAL
upside_breakout,8H,volume,4206,99054.6593036316,120838.35504885993,-0.08489819967042708,-0.10651912521076297,0.43612732729509984,higher_feature_lower_event,CONDITIONAL
upside_breakout,8H,volume_zscore,4206,0.29763288259139375,0.24873004473955515,0.018660691873552383,0.006615626068760767,0.5039669657328014,weak_flat,WEAK
upside_breakout,12H,return_5m,4206,-7.748757836594395e-05,0.00010311167641210625,-0.04861981539406175,-0.04217289100889056,0.4744144810379665,weak_flat,WEAK
upside_breakout,12H,return_15m,4206,-9.247014817249954e-05,0.00011959205425032253,-0.03697883458746274,-0.02716959315113964,0.48351668654452995,weak_flat,WEAK
upside_breakout,12H,return_1h,4206,-0.00021959991355776867,0.000433030627352648,-0.05498311080372482,-0.059084967741789736,0.4641541829773752,weak_flat,WEAK
upside_breakout,12H,return_4h,4206,-0.0001998550582123801,0.0003215313686741372,-0.0230351116548444,-0.03390040774980505,0.4794332149982536,weak_flat,WEAK
upside_breakout,12H,vwap,4206,1811.2191883928383,1827.6830386668807,-0.05807788965467582,-0.07039532248382435,0.4572923878477804,weak_flat,CONDITIONAL
upside_breakout,12H,vwap_deviation_pct,4206,0.0001643029707654743,-0.0006612777877126352,0.030988282378121363,0.028662626781295306,0.5173891148537697,weak_flat,WEAK
upside_breakout,12H,vwap_zscore,4206,0.4650585645650679,0.2906622430792148,0.013464450003235165,0.024985994726562006,0.5151585664269756,weak_flat,WEAK
