feature,target,regime,horizon,n,auc_oriented
rv_slope_96b,downside_breakdown_occurred,LOW_VOL_RANGE,2H,1024,0.5533564302914148
rv_slope_96b,downside_breakdown_occurred,LOW_VOL_RANGE,4H,1016,0.5697900362743045
rv_slope_96b,downside_breakdown_occurred,LOW_VOL_RANGE,8H,1016,0.5731226925105486
rv_slope_96b,downside_breakdown_occurred,NORMAL_RANGE,12H,2314,0.5451645353793692
rv_slope_96b,downside_breakdown_occurred,NORMAL_RANGE,1H,2314,0.5487756882449017
rv_slope_96b,downside_breakdown_occurred,NORMAL_RANGE,24H,2314,0.5628447061086417
rv_slope_96b,downside_breakdown_occurred,NORMAL_RANGE,2H,2314,0.5464215635650109
rv_slope_96b,downside_breakdown_occurred,NORMAL_RANGE,4H,2303,0.547248519971024
rv_slope_96b,downside_breakdown_occurred,NORMAL_RANGE,8H,2303,0.5432034924600817
rv_slope_96b,downside_breakdown_occurred,TREND_DOWN,12H,190,0.5700354609929078
rv_slope_96b,downside_breakdown_occurred,TREND_DOWN,1H,190,0.595
rv_slope_96b,downside_breakdown_occurred,TREND_DOWN,24H,190,0.6082668439716312
rv_slope_96b,downside_breakdown_occurred,TREND_DOWN,2H,190,0.6143856143856143
rv_slope_96b,downside_breakdown_occurred,TREND_DOWN,4H,189,0.6921783953384133
rv_slope_96b,downside_breakdown_occurred,TREND_DOWN,8H,189,0.6062217194570136
rv_slope_96b,downside_breakdown_occurred,TREND_UP,12H,179,0.6101802487941101
rv_slope_96b,downside_breakdown_occurred,TREND_UP,1H,179,0.5611673773987207
rv_slope_96b,downside_breakdown_occurred,TREND_UP,24H,179,0.6120191098818204
rv_slope_96b,downside_breakdown_occurred,TREND_UP,2H,179,0.6040873318101041
rv_slope_96b,downside_breakdown_occurred,TREND_UP,4H,179,0.5564102564102564
rv_slope_96b,downside_breakdown_occurred,TREND_UP,8H,179,0.6213642213642214
rv_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,12H,324,0.5767644726407612
rv_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,1H,324,0.5562884568053162
rv_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,24H,324,0.6678704755721474
rv_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,2H,324,0.5599717364423247
rv_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,4H,319,0.5731511931866093
rv_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,8H,319,0.5417741532828493
rv_slope_96b,range_breached,HIGH_VOL,12H,163,0.7337837837837837
rv_slope_96b,range_breached,HIGH_VOL,1H,163,0.7430379746835443
rv_slope_96b,range_breached,HIGH_VOL,24H,163,0.8953846153846154
rv_slope_96b,range_breached,HIGH_VOL,2H,163,0.6571125265392781
rv_slope_96b,range_breached,HIGH_VOL,4H,163,0.6529304029304029
rv_slope_96b,range_breached,HIGH_VOL,8H,163,0.679020979020979
rv_slope_96b,range_breached,LOW_VOL_RANGE,12H,1024,0.8116394148020654
rv_slope_96b,range_breached,LOW_VOL_RANGE,1H,1024,0.6422410252197486
rv_slope_96b,range_breached,LOW_VOL_RANGE,24H,1024,0.6852941176470588
rv_slope_96b,range_breached,LOW_VOL_RANGE,2H,1024,0.6222728295096716
