target,horizon,fold,model_family,feature_set,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
down_excursion_ge_1_0_atr,8H,3,tree_depth2,step11_individuals,631,546,0.8652931854199684,0.11627907932492533,0.007515287415425731,0.39448622650194143,0.5182934712346478,0.8703432265543439,0.028660495469364,-0.05800858121286866,0.9012125522084774
down_excursion_ge_1_0_atr,12H,1,logistic,step11_individuals,631,548,0.8684627575277337,0.1163343165554205,0.01138900071573734,0.4016520824785108,0.5623735819189165,0.8981583389414385,0.052030452943802485,-0.0890827200351371,0.8082920225477748
down_excursion_ge_1_0_atr,12H,2,logistic,step11_individuals,631,573,0.9080824088748018,0.08278770828559323,0.008367085890010895,0.3035158419644866,0.5611722934344346,0.9291056586918712,0.0027025543523955765,-0.0035366684182467443,1.0048053705093711
down_excursion_ge_1_0_atr,12H,3,logistic,step11_individuals,631,568,0.9001584786053882,0.08873382863250535,0.013813931579255034,0.31897829835313785,0.61359825620389,0.9214702548855452,0.007499482250841342,-0.024272636093246168,0.9855926967003078
down_excursion_ge_1_0_atr,24H,1,logistic,step11_individuals,631,565,0.8954041204437401,0.09580181717086195,0.017939192533263038,0.35138353322809895,0.5657817109144543,0.923536370901157,0.04950573820833393,-0.08426041430131756,0.7870141890374917
down_excursion_ge_1_0_atr,24H,2,logistic,step11_individuals,631,595,0.9429477020602218,0.05360543676030202,0.0035925724618861565,0.2173382312642509,0.5739028944911297,0.9577921022765028,0.010430434030230473,0.01877400490638701,1.0641199037386389
down_excursion_ge_1_0_atr,24H,3,logistic,step11_individuals,631,580,0.919175911251981,0.07343634264880754,0.01780494492611895,0.2745663694861012,0.6531778228532792,0.9536493239457845,0.01451146496236888,-0.04958567794161098,0.9482850032711583
mean_reversion,1H,1,logistic,step11_individuals,631,183,0.2900158478605388,0.2004866755453467,0.026339555640405354,0.5868557648854089,0.5947014051522248,0.3454220216466193,0.012928380864884386,-0.024181327227316703,1.0290460900004397
mean_reversion,1H,2,logistic,step11_individuals,631,156,0.24722662440570523,0.180706267729537,0.03908571671829486,0.5424956269888819,0.6394062078272604,0.3386799564978426,0.04880803509108807,-0.1338432133295052,1.1541675599693957
mean_reversion,1H,3,logistic,step11_individuals,631,180,0.28526148969889065,0.1948351865624426,0.04445000770377294,0.5733544153188159,0.6286523774328653,0.38607988329033294,0.018038308506021512,0.03056226745765995,0.9984076675150199
mean_reversion,2H,1,logistic,step11_individuals,631,241,0.38193343898573695,0.23405590270489507,0.011816581278856875,0.6597117009001389,0.5662304500478774,0.4271165478254684,0.040342090136660486,-0.16358578726258874,0.9875018721315852
mean_reversion,2H,2,logistic,step11_individuals,631,217,0.3438985736925515,0.22059782577704723,0.03693243371358279,0.6310156371264315,0.6273625859881119,0.4563255508527472,0.07027155465156279,-0.2515217490155801,1.1588649388930121
mean_reversion,2H,3,logistic,step11_individuals,631,248,0.393026941362916,0.22821690051101862,0.043383356096009185,0.6466093968900053,0.6154931356860103,0.4823090708269772,0.018790642114023665,0.016850371814223022,1.0393866761138533
mean_reversion,4H,1,logistic,step11_individuals,631,307,0.4865293185419968,0.25402618264824545,-0.009266971134505253,0.7014252983474281,0.5241183094060401,0.5028488521045072,0.05894016951317187,-0.2095388778194724,0.8621032271351614
mean_reversion,4H,2,logistic,step11_individuals,631,271,0.4294770206022187,0.24983482846688546,0.010778074631578649,0.6927040192031616,0.6004305043050431,0.5216339166656927,0.10610656766695195,-0.40847158820329904,1.022749002985724
mean_reversion,4H,3,logistic,step11_individuals,631,312,0.49445324881141045,0.24199136714571456,0.03199470785238723,0.6767508500044028,0.5990374567960774,0.5653927333762642,0.012248325252363348,-0.049499072963199824,1.0884590008669115
mean_reversion,8H,1,logistic,step11_individuals,631,350,0.554675118858954,0.26110001725530885,-0.02361519161102743,0.7182949032718612,0.5032638535841383,0.5597258018796438,0.12322480934549825,-0.28356874136156984,0.7157262845906264
mean_reversion,8H,2,logistic,step11_individuals,631,327,0.5182250396196514,0.2622965198635318,-0.00886236253156314,0.7191198225083213,0.6006558828263319,0.5733943434715209,0.1285272389216034,-0.4129479202685365,0.8317384007677691
mean_reversion,8H,3,logistic,step11_individuals,631,370,0.5863708399366085,0.2403296841167341,0.00966119248976971,0.673645792686396,0.5511028269648959,0.6344073643822152,0.029125811709895894,-0.10626013068151342,0.97990262315229
mean_reversion,12H,1,logistic,step11_individuals,631,364,0.5768621236133122,0.26613613864382235,-0.032304242008720285,0.7333847847580245,0.505329876116393,0.5811082274737625,0.1426637566497601,-0.2918043678281599,0.6230254398033143
mean_reversion,12H,2,logistic,step11_individuals,631,372,0.589540412044374,0.2527346035802398,-0.021366698818062302,0.7017158095600489,0.5360775522065845,0.5943011228767635,0.105206422122315,-0.2660862181080511,0.7612720986819332
mean_reversion,12H,3,logistic,step11_individuals,631,414,0.6561014263074485,0.22487782847974105,0.0036705724493579783,0.6420761734013367,0.5262027204523698,0.6745482141193541,0.018428366213875304,-0.05410169285757193,0.9618786310815861
mean_reversion,24H,1,boosted_stumps,step11_individuals,631,394,0.624405705229794,0.24854350050188637,-0.0035896295606394624,0.6958058333981506,0.5156889203024267,0.64747537631627,0.11820958284520577,-0.2563135537265428,0.7208868824288515
mean_reversion,24H,2,boosted_stumps,step11_individuals,631,420,0.6656101426307448,0.2233940483613992,0.005021491674500389,0.6391208938179753,0.5589144662604378,0.7415406007695321,0.05157011931210209,-0.14745566360346768,0.907787637033322
mean_reversion,24H,3,boosted_stumps,step11_individuals,631,470,0.7448494453248812,0.19160544613784217,0.0015169997878370367,0.5717074749512817,0.49530857671468215,0.7437845760413876,0.03218997201501739,0.10043210435778298,1.0602921199254487
upside_breakout,1H,1,logistic,compact_deredundant,631,418,0.6624405705229794,0.21760877974443965,0.03335172918969587,0.6246627544960259,0.600804187164454,0.7634660571596722,0.03467810809998927,0.11943874187717912,1.064810464473868
upside_breakout,1H,2,logistic,compact_deredundant,631,399,0.6323296354992076,0.2268671459670126,0.02419594320282048,0.6451023771923351,0.6020655085990839,0.7113587435328462,0.022916361007554533,-0.06199824280908262,0.9648706063413378
upside_breakout,1H,3,logistic,compact_deredundant,631,406,0.6434231378763867,0.22863095681928894,0.0038535328338853425,0.6492740926323538,0.557383689107827,0.7005765703715019,0.03687401394423542,-0.0033132322702379992,0.8705608172224311
upside_breakout,2H,1,logistic,step11_individuals,631,419,0.6640253565768621,0.22018821466529254,0.03182811100870209,0.6313101546732907,0.5954879092178142,0.7405035164253364,0.0676304642829173,0.2347848886510661,1.0798330266693048
upside_breakout,2H,2,logistic,step11_individuals,631,390,0.618066561014263,0.22737175237703586,0.03681500623659428,0.646367014989016,0.6306734759016916,0.711919777581137,0.02643288650875117,-0.08417821416621059,1.0390557710155368
upside_breakout,2H,3,logistic,step11_individuals,631,411,0.6513470681458003,0.22417166209102385,0.01779234417711395,0.6396892772144264,0.5675846051758461,0.7128046426260878,0.025564645486014587,0.05792886920160047,0.9564900618764941
upside_breakout,4H,1,tree_depth2,step11_individuals,631,416,0.659270998415214,0.23083644124125324,-0.0028092749084434043,0.6545526988134738,0.5596153846153846,0.6929495968765648,0.08932139430723056,0.320446504135975,0.9043405031614763
upside_breakout,4H,2,tree_depth2,step11_individuals,631,395,0.6259904912836767,0.22736007797916924,0.0308571326577064,0.6468720949403961,0.5917936065222056,0.6701656508506598,0.016208410492035877,-0.045163669508722484,0.9503423484684246
upside_breakout,4H,3,tree_depth2,step11_individuals,631,411,0.6513470681458003,0.22418399847850437,0.020091928749013555,0.6410600704932511,0.5598318955983189,0.6771634999655262,0.009525776033212781,0.05756638239364878,0.9027891207094274
upside_breakout,8H,1,logistic,step11_individuals,631,430,0.6814580031695721,0.2225660655526037,0.008124810396464621,0.6382367510353536,0.5878861506421381,0.7240282137219309,0.09512199532678306,0.3836295720772457,0.7651042492192046
upside_breakout,8H,2,logistic,step11_individuals,631,388,0.6148969889064976,0.2164153769048786,0.08609953977290141,0.623881060927112,0.6729137499469687,0.7225549626885943,0.04032791109430647,-0.20994276075258259,1.101066403838442
