target,horizon,feature_set,model_family,raw_brier,selected_brier,calibration,raw_ece,selected_ece
range_breached,8H,step12_interactions,tree_depth2,0.040954080981980195,0.040935151908341995,platt,0.0026975436300819,0.000972875626722769
range_breached,8H,step12_interactions,boosted_stumps,0.04390986283408677,0.043888397500326526,platt,0.004633115917683006,2.0720677266439225e-05
range_breached,8H,all_step13,logistic,0.04129956457173607,0.04129956457173607,none,0.002517427493521419,0.002517427493521419
range_breached,8H,all_step13,tree_depth2,0.042741171324569616,0.042741171324569616,none,0.01836759927408988,0.01836759927408988
range_breached,8H,all_step13,boosted_stumps,0.043617543003328214,0.043617543003328214,none,0.0028140290987698213,0.0028140290987698213
range_breached,8H,compact_deredundant,logistic,0.04124794520368165,0.04124794520368165,none,0.003649290859355119,0.003649290859355119
range_breached,8H,compact_deredundant,tree_depth2,0.04197229753926426,0.04197229753926426,none,0.013682830107335748,0.013682830107335748
range_breached,8H,compact_deredundant,boosted_stumps,0.04357937980961419,0.04357937980961419,none,0.0029699399930636083,0.0029699399930636083
range_breached,12H,step11_individuals,logistic,0.05662879949094214,0.05597689447490104,platt,0.020065057342732156,0.0033976237143371795
range_breached,12H,step11_individuals,tree_depth2,0.05881660042029156,0.056275990174780126,platt,0.04167491330777339,0.002632067344983939
range_breached,12H,step11_individuals,boosted_stumps,0.059539397442030385,0.05918089852251898,platt,0.017393768466512527,0.0009040097869458252
range_breached,12H,step12_interactions,logistic,0.05717128864394217,0.05712472252299454,platt,0.007489890757489626,0.0016176665745090408
range_breached,12H,step12_interactions,tree_depth2,0.05768734615547162,0.05715030275566979,platt,0.023068828907626293,0.0007577687257979138
range_breached,12H,step12_interactions,boosted_stumps,0.05978360841075796,0.05952857778816595,platt,0.01596968215158956,1.1199588398125293e-05
range_breached,12H,all_step13,logistic,0.05659760780025073,0.055946202173103,platt,0.019867284421749874,0.00356984408842742
range_breached,12H,all_step13,tree_depth2,0.05881660042029156,0.056275990174780126,platt,0.04167491330777339,0.002632067344983939
range_breached,12H,all_step13,boosted_stumps,0.059539397442030385,0.05918089852251898,platt,0.017393768466512527,0.0009040097869458252
range_breached,12H,compact_deredundant,logistic,0.05673211509410329,0.056139548138198145,platt,0.018856850346849304,0.0032893300341257036
range_breached,12H,compact_deredundant,tree_depth2,0.05905352500961779,0.056402787698487826,platt,0.042545496237658395,0.002843939930450116
range_breached,12H,compact_deredundant,boosted_stumps,0.05955772768315556,0.0592015577364571,platt,0.017437456933687034,0.0008339861863577713
range_breached,24H,step11_individuals,logistic,0.03788683991165343,0.03786747733434855,platt,0.004027806996595669,0.0070537583391419145
range_breached,24H,step11_individuals,tree_depth2,0.041725957068196005,0.0414909223502269,platt,0.024999161886872106,0.007773903171134258
range_breached,24H,step11_individuals,boosted_stumps,0.04293291969500406,0.04283932576688198,platt,0.007401699021458041,0.001447472201203226
range_breached,24H,step12_interactions,logistic,0.03988275310203647,0.03988275310203647,none,0.006644983242704223,0.006644983242704223
range_breached,24H,step12_interactions,tree_depth2,0.03936573036404209,0.0388801103167613,platt,0.01385634968627325,0.0031226881070596235
range_breached,24H,step12_interactions,boosted_stumps,0.04333293501057494,0.0432843304680904,platt,0.006971714351985847,1.6078592507406952e-05
range_breached,24H,all_step13,logistic,0.03794820113476893,0.03794820113476893,none,0.0028655689925672105,0.0028655689925672105
range_breached,24H,all_step13,tree_depth2,0.041725957068196005,0.0414909223502269,platt,0.024999161886872106,0.007773903171134258
range_breached,24H,all_step13,boosted_stumps,0.04293291969500406,0.04283932576688198,platt,0.007401699021458041,0.001447472201203226
range_breached,24H,compact_deredundant,logistic,0.03813095070234409,0.03813095070234409,none,0.0036284458285806747,0.0036284458285806747
range_breached,24H,compact_deredundant,tree_depth2,0.04172152914155426,0.04131364431171649,platt,0.024796854220560827,0.005500040474150756
range_breached,24H,compact_deredundant,boosted_stumps,0.04296371769598113,0.0428843129071424,platt,0.006874923637184227,0.001288601048018756
realized_over_range_width_ge_1,1H,step11_individuals,logistic,0.10531579203223057,0.10516531670782031,platt,0.01131306432730038,0.004127384495217282
realized_over_range_width_ge_1,1H,step11_individuals,tree_depth2,0.10666374636841153,0.10639163650455892,platt,0.01563716897183398,0.012452298666661046
realized_over_range_width_ge_1,1H,step11_individuals,boosted_stumps,0.1116544580847202,0.11165171106117337,platt,0.0014942431421403057,0.0020136333854386956
realized_over_range_width_ge_1,1H,step12_interactions,logistic,0.10789001467693983,0.10783536368046809,platt,0.006491239726113593,0.003689158879861814
realized_over_range_width_ge_1,1H,step12_interactions,tree_depth2,0.1097900023250298,0.10974463121319918,platt,0.005655897764055053,0.007606390101784513
realized_over_range_width_ge_1,1H,step12_interactions,boosted_stumps,0.11292728591693578,0.11292375284196032,platt,0.0018796495600617025,2.737368920646688e-06
