feature,12H,1H,24H,2H,4H,8H
bollinger_bandwidth_20b,134.565,115.687,143.002,111.903,132.78,131.372
bollinger_bandwidth_48b,131.223,97.381,130.485,99.118,128.569,119.892
bollinger_bandwidth_96b,122.519,94.607,120.481,93.492,116.401,106.303
bollinger_pct_b_20b,91.515,123.288,72.982,116.096,102.429,95.18
bollinger_pct_b_48b,112.055,108.17,67.595,100.564,122.551,118.607
bollinger_pct_b_96b,127.751,95.683,63.489,82.965,132.756,132.991
bollinger_squeeze_pctile_20b,114.867,107.544,131.572,125.229,114.403,115.311
bollinger_squeeze_pctile_48b,127.441,107.87,132.054,111.821,118.447,130.104
bollinger_squeeze_pctile_96b,128.264,86.649,105.001,86.107,119.469,126.2
choppiness_24b,128.464,92.489,97.172,106.759,135.795,118.774
choppiness_288b,128.987,118.204,61.306,112.899,134.215,70.871
choppiness_96b,132.697,92.069,95.562,99.21,136.513,121.997
close_location_value,105.813,133.005,95.204,127.125,114.933,108.045
consecutive_down_bars,117.548,134.865,101.283,124.168,112.785,103.465
consecutive_up_bars,111.879,135.079,105.898,130.128,118.203,112.474
