target,horizon,strategy_relevance,feature_set,model_family,calibration,split,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
realized_over_range_width_ge_1,12H,BOTH,compact_deredundant,logistic,platt,validation,818,684,0.8361858190709046,0.11931457363726719,0.13853040653980664,0.4002222935969179,0.7229313956533124,0.8865546143125722,0.047605629778291775,-0.0736372736325601,1.0405220897137977
realized_over_range_width_ge_1,12H,BOTH,compact_deredundant,tree_depth2,platt,validation,818,684,0.8361858190709046,0.12273478792731357,0.11383593272849757,0.3999002844781189,0.7001832940560356,0.9137896114689094,0.010213014005895691,-0.067932896491863,1.036651075643488
realized_over_range_width_ge_1,12H,BOTH,compact_deredundant,boosted_stumps,platt,validation,818,684,0.8361858190709046,0.13341040077665717,0.036756364148537446,0.4339091756423936,0.6169372436065288,0.8559065118789707,0.0530693723374792,-0.0616003225707307,1.0366064908359693
realized_over_range_width_ge_1,24H,BOTH,step11_individuals,logistic,platt,validation,794,703,0.8853904282115869,0.07682922513715025,0.2444238173586717,0.2591445645809439,0.8737905053694527,0.9811336719341208,0.021117043648876215,-0.19923535940536344,1.0921286618964368
realized_over_range_width_ge_1,24H,BOTH,step11_individuals,tree_depth2,platt,validation,794,703,0.8853904282115869,0.07933053920873533,0.21982467120795213,0.2807952762323051,0.7647601331811859,0.9620553473324327,0.014770280443513188,-0.07008501849378344,1.0289612191619164
realized_over_range_width_ge_1,24H,BOTH,step11_individuals,boosted_stumps,platt,validation,794,703,0.8853904282115869,0.09752784283845292,0.040863485716849834,0.3379753126048777,0.7600081284291811,0.9551845342385612,0.0065449077995684,-0.08333711008944261,1.0402730127933066
realized_over_range_width_ge_1,24H,BOTH,step12_interactions,logistic,platt,validation,794,703,0.8853904282115869,0.08385927181327742,0.17528689944942066,0.28278758856424085,0.803557750926172,0.9695740341259773,0.020495143051781475,-0.09610826059428831,1.0448208069723937
realized_over_range_width_ge_1,24H,BOTH,step12_interactions,tree_depth2,platt,validation,794,703,0.8853904282115869,0.08469888166920618,0.16702976541327452,0.29522972829727545,0.7189595610648242,0.944329464599554,0.016373179946431428,-0.09202824267128641,1.0411757525943548
realized_over_range_width_ge_1,24H,BOTH,step12_interactions,boosted_stumps,platt,validation,794,703,0.8853904282115869,0.10147421792501897,0.002052902662607936,0.35604553969222424,0.4520031888452941,0.9054941404347623,9.062520125335816e-06,,
realized_over_range_width_ge_1,24H,BOTH,all_step13,logistic,platt,validation,794,703,0.8853904282115869,0.07683017521455623,0.24441447383271075,0.2581782681141698,0.8761665077454551,0.9816503046628596,0.02546514303082938,-0.2029182238537382,1.094570818449943
realized_over_range_width_ge_1,24H,BOTH,all_step13,tree_depth2,platt,validation,794,703,0.8853904282115869,0.07933053920873533,0.21982467120795213,0.2807952762323051,0.7647601331811859,0.9620553473324327,0.014770280443513188,-0.07008501849378344,1.0289612191619164
realized_over_range_width_ge_1,24H,BOTH,all_step13,boosted_stumps,platt,validation,794,703,0.8853904282115869,0.09752784283845292,0.040863485716849834,0.3379753126048777,0.7600081284291811,0.9551845342385612,0.0065449077995684,-0.08333711008944261,1.0402730127933066
realized_over_range_width_ge_1,24H,BOTH,compact_deredundant,logistic,platt,validation,794,703,0.8853904282115869,0.07590377517392681,0.25352514500046,0.25541669966332103,0.8814812499023026,0.9823953715144271,0.025786800849961745,-0.22303560316509743,1.105408536425075
realized_over_range_width_ge_1,24H,BOTH,compact_deredundant,tree_depth2,platt,validation,794,703,0.8853904282115869,0.07877872993289457,0.22525143355576382,0.2796288967032902,0.7658074500179763,0.9621131437927183,0.017193668050234142,-0.09770296176781187,1.041704652865258
realized_over_range_width_ge_1,24H,BOTH,compact_deredundant,boosted_stumps,platt,validation,794,703,0.8853904282115869,0.09741670078144152,0.04195651107299092,0.33765174834504524,0.7399684241789505,0.9538322666542712,0.006658304090260692,-0.084841951690757,1.0410063164175443
oscillatory_path,1H,GRID,step11_individuals,logistic,platt,validation,840,383,0.45595238095238094,0.24746229329580077,0.004044932574417293,0.6880759214683257,0.5332998154612612,0.4900760631275519,0.0041117591004875415,0.0002051792593541159,0.98870928410717
oscillatory_path,1H,GRID,step11_individuals,tree_depth2,platt,validation,840,383,0.45595238095238094,0.24884604044044012,-0.0015241986349661119,0.6908286070893662,0.5249127297450166,0.47060678221146324,0.0038848092754126882,-0.011827060307390454,0.9317842545119137
oscillatory_path,1H,GRID,step11_individuals,boosted_stumps,platt,validation,840,383,0.45595238095238094,0.24799420290957372,0.0019041697608426222,0.689129744172845,0.5114636835760522,0.47302861510487626,0.0007345025246674464,0.0028121128771442776,0.9999653166590737
oscillatory_path,1H,GRID,step12_interactions,logistic,platt,validation,840,383,0.45595238095238094,0.24837935787310955,0.0003540465781599611,0.6899153198223771,0.49864881078209006,0.4675819035217541,0.00041826687786339356,-0.0009866724639947789,0.9790237216242903
oscillatory_path,1H,GRID,step12_interactions,tree_depth2,platt,validation,840,383,0.45595238095238094,0.24802806291699284,0.001767894268027148,0.6891978585696392,0.5024824174003463,0.4630853400395214,0.0007573529183637628,0.0028429475643079205,0.9995109137208223
oscillatory_path,1H,GRID,step12_interactions,boosted_stumps,platt,validation,840,383,0.45595238095238094,0.24806033777702774,0.001637998476736624,0.6892628298219593,0.5003056601402037,0.455812925892596,0.0007283685824622799,,
oscillatory_path,1H,GRID,all_step13,logistic,platt,validation,840,383,0.45595238095238094,0.24812494443587113,0.0013779777341518251,0.6894301292766418,0.5230216361673075,0.48495420952053986,0.006389957567956988,-0.0042289313389941114,0.9651569269997886
