target,horizon,split,train_base_probability,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
trend_efficiency_high,12H,validation,0.1944,818,172,0.21026894865525672,0.1663077414180929,0.0,0.5151008780337973,0.47760817913456693,0.23841475162750858,0.015868948655256787,,
trend_efficiency_high,12H,test,0.1944,842,129,0.15320665083135393,0.13143126498812352,0.0,0.43397715250624513,0.5774487100035879,0.1301302235685959,0.041193349168646004,,
trend_efficiency_high,24H,validation,0.20678513731825526,794,199,0.2506297229219144,0.18973681259675543,0.0,0.5686112190854229,0.44803006629787595,0.35256493024055546,0.043844585603659086,,
trend_efficiency_high,24H,test,0.20678513731825526,842,107,0.12707838479809977,0.11728263531251519,0.0,0.40250708721147055,0.7769597558649628,0.0784785325235186,0.07970675252015552,,
one_sided_runaway,1H,validation,0.15543219666931007,840,118,0.14047619047619048,0.12096631250673615,0.0,0.40670242381155475,0.5438048734682379,0.1252178582167662,0.014956006193119598,,
one_sided_runaway,1H,test,0.15543219666931007,842,123,0.14608076009501186,0.12482862099107857,0.0,0.41618880476474324,0.49411445435733914,0.16464289401306131,0.009351436574298155,,
one_sided_runaway,2H,validation,0.18174603174603174,838,115,0.13723150357995226,0.12038056122298646,0.0,0.40705588735244547,0.5618016717782188,0.1201913928845319,0.04451452816607945,,
one_sided_runaway,2H,test,0.18174603174603174,842,137,0.16270783847980996,0.13659645057988004,0.0,0.4453866249824744,0.46958637469586373,0.19056847626140783,0.019038193266221748,,
one_sided_runaway,4H,validation,0.18044515103338632,834,132,0.15827338129496402,0.13371450544175656,0.0,0.43851451629221916,0.5626456876456877,0.1407282926608513,0.02217176973842233,,
one_sided_runaway,4H,test,0.18044515103338632,842,150,0.17814726840855108,0.14641609943168024,0.0,0.46859035464524734,0.47621387283236993,0.21317287903805127,0.0022978826248352957,,
one_sided_runaway,8H,validation,0.18779904306220097,826,130,0.15738498789346247,0.13353996823104422,0.0,0.43847817788357263,0.49890583554376655,0.1638417266535343,0.03041405516873849,,
one_sided_runaway,8H,test,0.18779904306220097,842,141,0.167458432304038,0.139829846200327,0.0,0.4532294812880776,0.4971519915824405,0.20512063035608677,0.02034061075816293,,
one_sided_runaway,12H,validation,0.1944,818,172,0.21026894865525672,0.1663077414180929,0.0,0.5151008780337973,0.47760817913456693,0.23841475162750858,0.015868948655256787,,
one_sided_runaway,12H,test,0.1944,842,129,0.15320665083135393,0.13143126498812352,0.0,0.43397715250624513,0.5774487100035879,0.1301302235685959,0.041193349168646004,,
one_sided_runaway,24H,validation,0.20678513731825526,794,199,0.2506297229219144,0.18973681259675543,0.0,0.5686112190854229,0.44803006629787595,0.35256493024055546,0.043844585603659086,,
one_sided_runaway,24H,test,0.20678513731825526,842,107,0.12707838479809977,0.11728263531251519,0.0,0.40250708721147055,0.7769597558649628,0.0784785325235186,0.07970675252015552,,
upper_breach_only,1H,validation,0.3176050753370341,840,231,0.275,0.20119019244447436,0.0,0.5924666788276999,0.5138222478123956,0.2698994784547076,0.042605075337034004,,
upper_breach_only,1H,test,0.3176050753370341,842,240,0.2850356294536817,0.20485108820077377,0.0,0.6001419267199326,0.4969892026578073,0.28958040662879203,0.03256944588335231,,
upper_breach_only,2H,validation,0.3329365079365079,838,266,0.31742243436754175,0.21690611900642873,0.0,0.6254575071999736,0.48797255376202747,0.3260911470349653,0.015514073568966169,,
upper_breach_only,2H,test,0.3329365079365079,842,264,0.31353919239904987,0.2156086230788612,0.0,0.6227589125511669,0.5139129181084199,0.3120692703660584,0.019397315537458104,,
upper_breach_only,4H,validation,0.31756756756756754,834,269,0.3225419664268585,0.21853339096436514,0.0,0.6288276252325594,0.5060499391387308,0.3179074229302854,0.004974398859290963,,
upper_breach_only,4H,test,0.31756756756756754,842,282,0.334916864608076,0.22304855651697153,0.0,0.6382940871686973,0.5495377406281662,0.3082873252348078,0.01734929704050847,,
upper_breach_only,8H,validation,0.2902711323763955,826,265,0.32082324455205813,0.2188291218655427,0.0,0.629709925172132,0.5214475498604244,0.295016150233516,0.03055211217566267,,
upper_breach_only,8H,test,0.2902711323763955,842,272,0.32304038004750596,0.21975911649919944,0.0,0.6316921941725345,0.5583333333333333,0.29679104859271965,0.0327692476711105,,
upper_breach_only,12H,validation,0.2896,818,240,0.293398533007335,0.2073302626894865,0.0,0.605201668575492,0.4918901384083045,0.281763652680027,0.003798533007334959,,
